Frequency,Note,Magnitude
468.0,A#4,0.22501285169872576
932.0,A#5,0.1869262428754848
452.0,A4,0.07323812293059152
464.0,A#4,0.24243410927338244
932.0,A#5,0.22116329703129572
1404.0,F6,0.06776236822954111
464.0,A#4,0.22439087940387836
932.0,A#5,0.19732023860593562
1388.0,F6,0.05493242687193805
420.0,G#4,0.228912777789702
840.0,G#5,0.18349887805768542
428.0,A4,0.051332644832816327
416.0,G#4,0.22819953667423676
836.0,G#5,0.1854081148977745
428.0,A4,0.03735304392271049
416.0,G#4,0.2558044360700518
828.0,G#5,0.18831107223387153
1240.0,D#6,0.03485235384420602
416.0,G#4,0.25111413304547464
828.0,G#5,0.23197108427104102
1240.0,D#6,0.04587300073780473
416.0,G#4,0.2454147585747094
828.0,G#5,0.2193929853157375
1236.0,D#6,0.04635353417501952
416.0,G#4,0.24990202225279678
832.0,G#5,0.2144562734860908
1236.0,D#6,0.046295692308960426
416.0,G#4,0.253979836858972
832.0,G#5,0.21741968102591244
428.0,A4,0.070872441317671
416.0,G#4,0.25373988705482076
844.0,G#5,0.20563679740556404
856.0,A5,0.09258701612415442
416.0,G#4,0.2577238737611292
832.0,G#5,0.20318325434975765
856.0,A5,0.10059915435912387
416.0,G#4,0.26804612170383324
832.0,G#5,0.23600961496914427
856.0,A5,0.0795732187462594
828.0,G#5,0.29575831538614245
416.0,G#4,0.2792646891585652
1244.0,D#6,0.05466669225262196
832.0,G#5,0.32473349881074415
416.0,G#4,0.2842670303013749
1244.0,D#6,0.06499974543180903
832.0,G#5,0.31234738114266597
416.0,G#4,0.26936109484976
1244.0,D#6,0.0650293807792163
832.0,G#5,0.23788891311441768
416.0,G#4,0.2115012815483219
428.0,A4,0.07442041001890858
468.0,A#4,0.2680453986293622
936.0,A#5,0.18157766709661455
416.0,G#4,0.07326360258284716
468.0,A#4,0.3113739719549287
932.0,A#5,0.19656884440012862
1400.0,F6,0.08209685492592284
468.0,A#4,0.3218641831597952
932.0,A#5,0.18641740078358998
1400.0,F6,0.09469162231407903
468.0,A#4,0.3139265597356773
932.0,A#5,0.1493951664138317
1400.0,F6,0.08804771879888722
468.0,A#4,0.2844746599542943
932.0,A#5,0.10027326285949333
1400.0,F6,0.06669692138835268
468.0,A#4,0.22293369311675634
932.0,A#5,0.0626202540287564
1396.0,F6,0.05359556204700633
372.0,F#4,0.20956219699217907
384.0,G4,0.030685959251247327
740.0,F#5,0.029118917170221283
372.0,F#4,0.24174913043273571
384.0,G4,0.05017575780791698
740.0,F#5,0.03163267431325708
372.0,F#4,0.2100370405051733
412.0,G#4,0.07769943992798257
384.0,G4,0.06528544228648972
416.0,G#4,0.29927293603804217
400.0,G4,0.07916201485440459
428.0,A4,0.07825071508412726
416.0,G#4,0.3904363724649618
428.0,A4,0.08588057738692215
836.0,G#5,0.08587586939260869
416.0,G#4,0.388876893180451
832.0,G#5,0.09334670437505067
428.0,A4,0.06944808487355501
412.0,G#4,0.293955184155374
828.0,G#5,0.08807383809615708
372.0,F#4,0.08003996918804554
412.0,G#4,0.2274625031338487
368.0,F#4,0.16645356431388597
400.0,G4,0.09700773105014862
368.0,F#4,0.2446795338947611
408.0,G#4,0.13159388715018264
400.0,G4,0.09233244404052954
364.0,F#4,0.27168055500794497
356.0,F4,0.14640645551356465
412.0,G#4,0.06743160218641402
364.0,F#4,0.23603978672527856
352.0,F4,0.20754174802514705
700.0,F5,0.0577121652130335
352.0,F4,0.3071506547051775
364.0,F#4,0.13443668556941427
