artist,gender
﻿5 Seconds of Summer,Male
831,Male
Ado,Female
Aimer,Female
Aiobahn,Female
Alfred Hui,Male
AliA,Female
back number,Male
Beyond,Male
BLUE ENCOUNT,Male
Bowie Lam,Male
Chainsmokers,Male
Charlie Puth,Male
Chinozo,Vocaloid
Coldplay,Male
DECO*27,Vocaloid
Eason Chan,Male
eill,Female
Faye Wong,Female
G.E.M.,Female
GARNiDELiA,Female
Gym Class Heroes,Male
Higuchi Ai,Female
Hiroji Miyamoto,Male
Hubert Wu,Male
Imagine Dragons,Male
Jay Chou,Male
JJ Lin,Male
Joker Xue,Male
KANA-BOON,Male
Kavinsky,Male
Kenshi Yonezu,Male
Lil Nas X,Male
Linked Horizon,Male
LONGMAN,Male
luna haruna,Female
MAN WITH A MISSION,Male
Mao Buyi,Male
Maroon 5,Male
Masayoshi Oishi,Male
Michael Wong,Male
milet,Female
Mrs. GREEN APPLE,Female
MyGO!!!!!,Female
natori,Male
Novelbright,Male
OFFICIAL HIGE DANDISM,Male
Panic! At The Disco,Male
PINOCCHIOP,Vocaloid
Post Malone,Male
P丸様,Female
Rei Yasuda,Female
ROVER,Male
Ruco Chan,Male
Sayuri,Female
singtur,Vocaloid
SPYAIR,Male
Stephanie Ho,Female
Stromae,Male
Taichi Mukai,Male
The Weeknd,Male
twenty one pilots,Male
VALORANT,Mixed
Vaundy,Male
Wanting,Female
wowaka,Vocaloid
Wu Bai,Male
YOASOBI,Female
Zhou Shen,Male
ZONE,Male
フランシュシュ,Female
ゆこぴ,Vocaloid
中村 由利子,Female
井朧,Male
前島麻由,Female
宿羽阳,Male
川崎鷹也,Male
闻人听書_,Male
須田景凪,Male
