title,spotigy title,spotify artist,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
想見你想見你想見你,想見你想見你想見你,831,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
【Ado】unravel,unravel,Ado,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
カタオモイ,カタオモイ,Aimer,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
かくれんぼ,かくれんぼ,AliA,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
anO_od,,,,,,,,,,
Ave Mujika (Jinkala),ave mujica,Ave Mujica,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
高嶺の花子さん,高嶺の花子さん,back number,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
水平線,水平線,back number,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
花束,花束,back number,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
瞬き,,,,,,,,,,
ポラリス,ポラリス,BLUE ENCOUNT,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
CHAINSAW BLOOD,CHAINSAW BLOOD,Vaundy,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Attention,Attention,Charlie Puth,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Hymn For The Weekend,Hymn For The Weekend,Coldplay,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
K歌之王,K歌之王,Eason Chan,,,,,,,,
フィナーレ (Finale),finale,eill,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Stereo Hearts,Stereo Hearts,Gym Class Heroes,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
髮如雪,髮如雪,Jay Chou,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
明明就,明明就,Jay Chou,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
手心的薔薇,手心的薔薇,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
裹著心的光,裹著心的光,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
偉大的渺小,偉大的渺小,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
學不會,學不會,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
修煉愛情,修煉愛情,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
將故事寫成我們,將故事寫成我們,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
無拘,无拘,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
演員,演員,Joker Xue,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Silhouette,シルエット,KANA-BOON,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
感電,感電,Kenshi Yonezu,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
パプリカ,パプリカ,Kenshi Yonezu,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
