title,spotify title,spotify artist,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
想見你想見你想見你,想見你想見你想見你,831,0.4,0.547,0.666,0.0,0.144,0.0393,0.43
【Ado】unravel,unravel,Ado,0.017,0.569,0.902,8.98e-06,0.17,0.156,0.425
カタオモイ,カタオモイ,Aimer,0.78,0.621,0.533,0.0,0.333,0.0342,0.791
かくれんぼ,かくれんぼ,AliA,0.00245,0.403,0.945,0.00145,0.124,0.0701,0.549
anO_od,anO_od,,0.174,0.701,0.716,0.0,0.324,0.0361,0.732
Ave Mujika (Jinkala),ave mujica,Ave Mujica,0.00842,0.56,0.979,8.35e-06,0.0811,0.0846,0.331
高嶺の花子さん,高嶺の花子さん,back number,0.066,0.54,0.923,0.0,0.124,0.0623,0.343
水平線,水平線,back number,0.0103,0.424,0.761,0.0,0.145,0.0305,0.424
花束,花束,back number,0.0178,0.519,0.713,0.0,0.353,0.0324,0.505
瞬き,瞬き,back number,0.00634,0.329,0.811,0.0,0.306,0.063,0.395
ポラリス,ポラリス,BLUE ENCOUNT,0.00204,0.534,0.941,0.00615,0.102,0.077,0.573
CHAINSAW BLOOD,CHAINSAW BLOOD,Vaundy,7.38e-05,0.528,0.855,1.81e-06,0.281,0.0953,0.549
Attention,Attention,Charlie Puth,0.109,0.775,0.613,2.33e-05,0.134,0.0542,0.797
Hymn For The Weekend,Hymn For The Weekend,Coldplay,0.211,0.491,0.693,6.92e-06,0.325,0.0377,0.412
K歌之王,K歌之王,Eason Chan,0.754,0.346,0.349,0.0,0.381,0.0355,0.271
フィナーレ (Finale),finale,eill,0.0779,0.626,0.289,0.0,0.149,0.0458,0.341
Stereo Hearts,Stereo Hearts,Gym Class Heroes,0.0319,0.646,0.795,0.0,0.267,0.0976,0.796
髮如雪,髮如雪,Jay Chou,0.575,0.716,0.699,1.37e-06,0.364,0.0489,0.377
明明就,明明就,Jay Chou,0.156,0.543,0.444,0.0,0.0941,0.0259,0.18
手心的薔薇,手心的薔薇,JJ Lin,0.849,0.422,0.499,0.0,0.276,0.0278,0.17
裹著心的光,裹著心的光,JJ Lin,0.164,0.416,0.532,0.0,0.0877,0.0304,0.317
偉大的渺小,偉大的渺小,JJ Lin,0.554,0.465,0.476,0.0,0.0784,0.0287,0.162
學不會,學不會,JJ Lin,0.67,0.454,0.604,0.0,0.0981,0.0348,0.203
修煉愛情,修煉愛情,JJ Lin,0.626,0.433,0.634,0.0,0.116,0.036,0.232
將故事寫成我們,將故事寫成我們,JJ Lin,0.622,0.465,0.64,1.3e-06,0.109,0.0302,0.373
無拘,无拘,JJ Lin,0.429,0.478,0.667,0.0,0.0758,0.0518,0.159
演員,演員,Joker Xue,0.399,0.53,0.432,0.0,0.113,0.0472,0.186
Silhouette,シルエット,KANA-BOON,1.03e-05,0.436,0.934,0.14,0.321,0.0507,0.384
感電,感電,Kenshi Yonezu,0.107,0.633,0.723,0.0,0.0818,0.143,0.688
パプリカ,パプリカ,Kenshi Yonezu,0.303,0.758,0.554,0.0,0.126,0.0412,0.459
STAR WALKIN',STAR WALKIN',Lil Nas X,0.148,0.637,0.715,0.0,0.0892,0.0455,0.308
Spiral,Spiral,LONGMAN,0.00686,0.604,0.826,2.75e-06,0.228,0.038,0.461
起風了,起風了,井朧,0.231,0.346,0.606,0.0,0.116,0.0351,0.383
M87,M八七,Kenshi Yonezu,0.3,0.633,0.719,2.23e-05,0.34,0.0418,0.334
ギラギラ,ギラギラ,Ado,0.052,0.651,0.861,0.0,0.0878,0.0568,0.731
阿修羅ちゃん,阿修羅ちゃん,Ado,0.0712,0.629,0.945,0.0,0.312,0.161,0.686
冬の花,冬の花,Hiroji Miyamoto,0.147,0.32,0.756,0.0,0.143,0.0439,0.443
虞兮叹,虞兮叹,闻人听書_,0.0544,0.419,0.669,0.0,0.134,0.0329,0.463
童話,童話,Michael Wong,0.768,0.54,0.405,0.0,0.11,0.0272,0.309
如愿,如愿,Faye Wong,0.614,0.545,0.316,5.85e-06,0.0896,0.0314,0.0978
インフェルノ（Inferno）,インフェルノ,Mrs. GREEN APPLE,0.00955,0.529,0.931,0.0,0.465,0.0581,0.695
消愁,消愁,Mao Buyi,0.585,0.533,0.384,0.0,0.372,0.0393,0.237
Nightcall,Nightcall,Kavinsky,0.00842,0.532,0.874,0.012,0.452,0.0482,0.361
愛とか恋とか,愛とか恋とか,Novelbright,0.698,0.697,0.556,0.0,0.0991,0.0364,0.404
夢花火,夢花火,Novelbright,0.0153,0.481,0.619,0.0,0.13,0.0296,0.519
ツキミソウ,ツキミソウ,Novelbright,0.432,0.504,0.645,0.0,0.231,0.0352,0.473
イエスタデイ,yesterday,OFFICIAL HIGE DANDISM,0.0442,0.541,0.8,0.0,0.398,0.0382,0.56
Pretender,pretender,OFFICIAL HIGE DANDISM,0.047,0.538,0.869,0.0,0.14,0.0275,0.369
魔法の絨毯,魔法の絨毯,川崎鷹也,0.776,0.622,0.309,0.0,0.122,0.0481,0.571
クリスマスイブ,クリスマスイブ,Yuuri,0.0885,0.558,0.521,0.0,0.108,0.0258,0.43
ベテルギウス,ベテルギウス,中村 由利子,0.822,0.574,0.177,0.000101,0.139,0.0305,0.313
メリーゴーランド,メリーゴーランド,朝比奈あゆり,4.94e-05,0.4,0.885,0.178,0.0797,0.092,0.587
わたがし,わたがし,back number,0.0511,0.69,0.825,0.0,0.0356,0.0401,0.61
ヒロイン,ヒロイン,back number,0.209,0.431,0.598,0.0,0.218,0.0296,0.356
Walking with you,Walking with you,Novelbright,0.00585,0.422,0.969,0.0,0.533,0.0591,0.496
花の塔,花の塔,Sayuri,0.0242,0.486,0.948,0.0286,0.137,0.122,0.507
Overdose,Overdose,natori,0.0307,0.733,0.598,1.7e-05,0.218,0.0377,0.831
悪魔の子,悪魔の子,Higuchi Ai,0.267,0.561,0.686,0.0,0.137,0.0473,0.22
二千年... 若しくは... 二万年後の君へ,二千年... 若しくは... 二万年後の君へ,Yash Grag,0.969,0.405,0.373,0.901,0.175,0.0412,0.137
白鴿,白鴿,Wu Bai,0.252,0.472,0.566,0.156,0.093,0.0242,0.334
リセット,リセット,Taichi Mukai,0.327,0.781,0.637,0.0,0.185,0.0344,0.589
如果我還剩一件事情可以做,如果我還剩一件事情可以做,JJ Lin,0.937,0.441,0.262,0.0,0.111,0.0335,0.388
願與愁,願與愁,JJ Lin,0.889,0.459,0.36,2.76e-05,0.132,0.0412,0.205
High Hopes,High Hopes,Panic! At The Disco,0.193,0.579,0.904,0.0,0.064,0.0618,0.681
Circles,Circles,Post Malone,0.192,0.695,0.762,0.00244,0.0863,0.0395,0.553
おもかげ,おもかげ,milet,0.0258,0.488,0.638,2.24e-05,0.12,0.058,0.713
Rage of Dust,Rage of Dust,SPYAIR,0.000515,0.559,0.945,9.22e-06,0.0586,0.0723,0.552
Alors on danse,Alors on danse,Stromae,0.0994,0.791,0.59,0.00203,0.065,0.0793,0.714
Something Just Like This,Something Just Like This,The Chainsmokers,0.0498,0.617,0.635,1.44e-05,0.164,0.0317,0.446
Chlorine,Chlorine,Twenty One Pilots,0.0735,0.609,0.674,0.06,0.345,0.0548,0.315
Heathens,Heathens,Twenty One Pilots,0.0841,0.732,0.396,3.58e-05,0.105,0.0286,0.548
uni-verse,uni-verse,Masayoshi Oishi,0.0512,0.613,0.937,0.0,0.231,0.063,0.681
怪獣の花唄,怪獣の花唄,Vaundy,0.0337,0.46,0.949,0.0,0.217,0.0989,0.525
我的歌声里,我的歌声里,Wanting,0.686,0.475,0.477,0.0,0.111,0.0345,0.241
あの夢をなぞって,あの夢をなぞって,YOASOBI,0.334,0.534,0.794,0.00093,0.159,0.0402,0.711
祝福,祝福,YOASOBI,0.0142,0.543,0.965,5.83e-05,0.366,0.0905,0.646
グッバイ宣言,グッバイ宣言,麻婆豆腐,0.0235,0.646,0.885,0.0,0.348,0.172,0.713
シル・ヴ・プレジデント,シル・ヴ・プレジデント,P丸様｡,0.0237,0.647,0.9,0.0225,0.314,0.113,0.746
メルト,メルト,ずま,0.00255,0.513,0.73,0.0,0.119,0.0378,0.568
メロウ,メロウ,須田景凪,0.0627,0.57,0.884,0.0,0.0936,0.0817,0.739
ローリンガール,ローリンガール,初音ミク,0.0695,0.234,0.918,0.0,0.273,0.0589,0.324
你不是真正的快樂,你不是真正的快樂,G.E.M.,0.23,0.538,0.603,0.0,0.15,0.0373,0.322
再見,再見,G.E.M.,0.284,0.598,0.538,0.0,0.127,0.0373,0.157
到此一遊,到此一遊,Hubert Wu,0.187,0.668,0.604,0.000137,0.255,0.03,0.652
哪里都是你,哪里都是你,Jay Chou,0.14,0.446,0.607,0.000001,0.111,0.0261,0.179
巨輪,巨輪,Ruco Chan,0.731,0.578,0.532,1.68e-06,0.275,0.0327,0.334
